Model,Test_R2,Test_MSE,Test_MAE,CV_MSE_Mean,CV_MSE_Std,Overfit_Score
gradient_boosting,0.995376795568768,0.015667526128063995,0.03648440290994685,0.09878245633070638,0.021862638658428774,0.00461644502344849
ensemble,0.9942698635166413,0.019418795860271437,0.0,0.0999800965515986,0.03236364058111672,0.005183482170252995
extra_trees,0.9915366461748634,0.028681365740740723,0.08143518518518521,0.11774067956349181,0.05365522055972005,0.007725373765984478
random_forest,0.9898338569616371,0.03445192918556311,0.07208928571428572,0.1079724573206862,0.035426408186420524,0.0077956012085173
lightgbm,0.9636759170346986,0.12309828116018827,0.20618601281942675,0.5228358188410089,0.29934010938209465,0.01999529035568237
ridge,0.9626837837830856,0.12646051051287654,0.21774455733618847,0.16902499435806484,0.0746415230366851,0.02082180199047523
